title,sku,isbn,publisher,owned,file_name
Awakenings: New Magic in 2057,7120,1555602738,FASA,yes,7120-awakenings-new-magic-in-2057.pdf
Aztlan,7213,1555602576,FASA,yes,7213-aztlan.pdf
Brainscan,7331,,Fantasy Productions Reprint,yes,7331-brainscan.pdf
Bug City,7117,1555602533,FASA,yes,7117-bug-city.pdf
California Free State,7209,1555601936,FASA,yes,7209-california-free-state.pdf
Cannon Companion,"7908, 10659",1932564144,Fantasy Productions,yes,7908-cannon-companion.pdf
Character Dossier,10673,1932564012,Fantasy Productions,no,
Corporate Download,7125,1555603629,FASA,yes,7125-corporate-download.pdf
Corporate Enclaves,26201,1934857009,Catalyst Game Labs,yes,26201-corporate-enclaves.pdf
Corporate Punishment,7330,,Fantasy Productions Reprint,yes,7330-corporate-punishment.pdf
Corporate Security Handbook,7118,1555602614,FASA,yes,7118-corporate-security-handbook.pdf
Corporate Shadowfiles,7113,1555602118,FASA,yes,7113-corporate-shadowfiles.pdf
Cyberpirates,7124,1555603017,FASA,yes,7124-cyberpirates.pdf
Cybertechnology,7119,1555602673,FASA,yes,7119-cybertechnology.pdf
Dragons of the Sixth World,10666,3890646662,Fantasy Productions,yes,10666-dragons-of-the-sixth-world.pdf
Emergence,26301,0979204755,Catalyst Game Labs,yes,26301-emergence.pdf
Feral Cities,26202,9781934857120,Catalyst Game Labs,yes,26202-feral-cities.pdf
Fields of Fire,7114,1555602231,FASA,yes,7114-fields-of-fire.pdf
First Run,7329,,Fantasy Productions Reprint,yes,7329-first-run.pdf
Gamemasters Screen,"7002, 25008",,Fantasy Productions Reprint,no,
German Sourcebook,7204,1555601833,FASA,yes,7204-german-sourcebook.pdf
London Sourcebook,7203,1555601316,FASA,yes,7203-london-sourcebook.pdf
Lone Star,7115,1555602304,FASA,yes,7115-lone-star.pdf
Loose Alliances,"10669, 25006",1932564446,Fantasy Productions,no,
Magic in the Shadows,"7907, 10658",,Fantasy Productions Reprint,yes,7907-magic-in-the-shadows.pdf
Man & Machine: Cyberware,"7126, 10663, 25001",,Multiple Publishers,yes,7126-man-machine-cyberware.pdf
Matrix,7909,,Fantasy Productions Reprint,yes,7909-matrix.pdf
Mr. Johnson's Little Black Book,"10672, 25003",,Fantasy Productions Reprint,no,
Native American Nations Volume One,7202,1555601308,FASA,yes,7202-native-american-nations-volume-one.pdf
Native American Nations Volume Two,7207,1555601588,FASA,yes,7207-native-american-nations-volume-two.pdf
New Seattle,"7216, 10657, 25009",1555603424,Multiple Publishers,yes,7216-new-seattle.pdf
Paranormal Animals of Europe,7112,1555601995,FASA,yes,7112-paranormal-animals-of-europe.pdf
Paranormal Animals of North America,7105,1555601235,FASA,yes,7105-paranormal-animals-of-north-america.pdf
Portfolio of a Dragon: Dunkelzahn's Secrets,7122,1555603068,FASA,yes,7122-portfolio-of-a-dragon-dunkelzahns-secrets.pdf
Prime Runners,7116,1555602525,FASA,yes,7116-prime-runners.pdf
Quick Start Rules,7003,,Fantasy Productions Reprint,yes,7003-quick-start-rules.pdf
Rigger 2,7906,1555603041,FASA,yes,7906-rigger-2.pdf
Rigger 3,7910,1555604021,FASA,yes,7910-rigger-3.pdf
Rigger 3 (Revised),10662,1932564047,Fantasy Productions,yes,10662-rigger-3-revised.pdf
Rigger Black Book,7108,1555601693,FASA,yes,7108-rigger-black-book.pdf
Runner Havens,26005,1932564683,Fantasy Productions,yes,26005-runner-havens.pdf
Runner's Companion,26005,9781934857090,Catalyst Game Labs,yes,26005-runners-companion.pdf
Running Wild,26101,9781934857441,Catalyst Game Labs,no,
Running Wild,25005,,Fantasy Productions Reprint,no,
Seattle Sourcebook,7201,1555603629,FASA,yes,7201-seattle-sourcebook.pdf
Shadowbeat,7109,1555601596,FASA,yes,7109-shadowbeat.pdf
Shadowrun 3rd Ed,"7001, 10660, 25000",,Fantasy Productions Reprint,yes,7001-shadowrun-3rd-ed.pdf
Shadowrun 3rd Ed (Hardback),7000,,Fantasy Productions Reprint,no
Shadowrun Companion,"7905, 10656, 25010",1932564489,Fantasy Productions,yes,7905-shadowrun-companion.pdf
Shadowrun Companion (Revised),7905,1555603807,FASA,yes,7905-shadowrun-companion-revised.pdf
Shadowrun Companion: Beyond the Shadows,7905,1555602983,FASA,yes,7905-shadowrun-companion-beyond-the-shadows.pdf
Shadowtech,7110,1555601561,FASA,yes,7110-shadowtech.pdf
Shadows of Asia,"10670, 25007",1932564225,Fantasy Productions,yes,10670-shadows-of-asia.pdf
Shadows of Europe,"10668, 25002",1932564101,Fantasy Productions,yes,10668-shadows-of-europe.pdf
Shadows of Latin America,25011,,Fantasy Productions,yes,25011-shadows-of-latin-america.pdf
Shadows of North America,"10655, 25015",1932564624,Fantasy Productions,yes,10655-shadows-of-north-america.pdf
Sprawl Sites,7103,1555601197,FASA,yes,7103-sprawl-sites.pdf
Sprawl Survival Guide,10667,,Fantasy Productions Reprint,yes,10667-sprawl-survival-guide.pdf
State of the Art: 2063,"10664, 25013",3890646646,Fantasy Productions,yes,10664-state-of-the-art-2063.pdf
State of the Art: 2064,"10671, 25004",1932564438,Fantasy Productions,yes,10671-state-of-the-art-2064.pdf
Street Samurai Catalog,7104,1555601227,FASA,yes,7104-street-samurai-catalog.pdf
Street Samurai Catalog (Revised),7104,1555601227,FASA,yes,7104-street-samurai-catalog-revised.pdf
Survival of the Fittest,10665,,Fantasy Productions Reprint,yes,10665-survival-of-the-fittest.pdf
System Failure,25014,1932564551,Fantasy Productions,no,
Target: Awakened Lands,"7217, 10651",3890646514,Fantasy Productions,yes,7217-target-awakened-lands.pdf
Target: Matrix,7219,1555604765,FASA,yes,7219-target-matrix.pdf
Target: Smuggler Havens,7215,1555603416,FASA,yes,7215-target-smuggler-havens.pdf
Target: UCAS,7214,1555603149,FASA,yes,7214-target-ucas.pdf
Target: Wastelands,10653,3890646530,Fantasy Productions,yes,10653-target-wastelands.pdf
The Grimoire: 14th Edition 2050,7106,1555601278,FASA,yes,7106-the-grimoire-14th-edition-2050.pdf
The Grimoire: 15th Edition 2053,7903,1555601901,FASA,yes,7903-the-grimoire-15th-edition-2053.pdf
The NeoAnarchist's Guide to North America,7206,1555601359,FASA,yes,7206-the-neoanarchists-guide-to-north-america.pdf
The NeoAnarchists Guide to Real Life,7208,1555601359,FASA,yes,7208-the-neoanarchists-guide-to-real-life.pdf
The Shadowrun Companion: Beyond The Shadows,"7905, 10656, 25010",,Fantasy Productions Reprint,no,
The Universal Brotherhood,7205,1555600247,FASA,no,
Threats,7121,1555602908,FASA,yes,7121-threats.pdf
Threats 2,10652,3890646522,Fantasy Productions,yes,10652-threats-2.pdf
Tir na nOg,7211,1555602096,FASA,yes,7211-tir-na-nog.pdf
Tir Tairngire,7210,1555601979,FASA,yes,7210-tir-tairngire.pdf
Underworld Sourcebook,7123,1555603157,FASA,no,
Virtual Realities,7107,1555601448,FASA,yes,7107-virtual-realities.pdf
Virtual Realities 2.0,7904,1555602711,FASA,yes,7904-virtual-realities-20.pdf
Wake of the Coment,10654,,Fantasy Productions Reprint,yes,10654-wake-of-the-coment.pdf
Year of the Comet,10650,3890646506,Fantasy Productions,yes,10650-year-of-the-comet.pdf
